Accel Pedal;Coolant Temp;Engine Lambda;Engine Speed;Man Air Press;Mass Air Flow OBD;Rel Thrott Pos OBD;Spark Advance;Fuel Inj Amt
30;89;1;2172.9;84.4;28.979;21.6;10;30.182
30;89;1;2181;84.4;29.79;21.6;11;30.182
30;89;1;2189.5;84.4;29.79;21.6;11;30.182
30;89;1;2199.1;84.6;29.79;21.6;11;30.182
30;89;1;2208.3;84.9;29.79;21.6;11;30.182
30;89;1;2218;83.1;29.79;21.6;11;30.182
30;89;1;2223.5;83.6;29.79;21.6;11;30.182
30;89;1;2233.1;83.5;31.973;21.6;11;30.182
30;89;1;2239.7;83.1;35.1;20.8;9.5;30.182
30;89;1;2244.2;81.9;35.1;20.8;9.5;30.182
30;89;1;2252.7;83;35.1;20.8;9.5;30.182
30;89;1;2263.7;82.1;35.1;20.8;9.5;30.182
30;89;1;2273.5;81.4;35.1;20.8;9.5;30.182
30;89;1;2281;81.8;35.1;20.8;9.5;29.588
30;89;1;2294.8;81.8;32.062;20.8;10.4;29.328
30;89;1;2300.8;80.7;30.1;19.6;11;29.328
30;89;1;2307.8;81;30.1;19.6;11;29.328
30;89;1;2313.9;80.7;30.1;19.6;11;29.328
30;89;1;2318.5;81.4;30.1;19.6;11;29.328
30;89;1;2327.6;80.3;30.1;19.6;11;29.328
30;89;1;2335;80.9;30.1;19.6;11;29.023
30;89;1;2342.3;79.5;33.06;19.6;11.3;27.771
30;89;1;2347.4;80.5;33.06;19.2;13;27.771
30;89;1;2357.9;79;33.06;19.2;13;27.771
30;89;1;2367.4;81.1;33.06;19.2;13;27.771
30;90;1;2376.2;80.6;33.06;19.2;13;27.771
30;90;1;2382.7;80.3;33.06;19.2;13;27.771
30;90;1;2388.8;79.9;33.06;19.2;13;27.531
30;90;1;2393.7;79.9;33.345;19.2;13.5;27.527
30;90;1;2403;79.8;33.35;19.6;13.5;27.527
30;90;1;2408.3;79.8;33.35;19.6;13.5;27.527
30;90;1;2413.7;79.8;33.35;19.6;13.5;27.527
29.5;90;1;2423.7;80;33.35;19.6;13.5;27.527
29.5;90;1;2431.9;80.3;33.35;19.6;13.5;27.511
29.5;90;1;2435.6;78;33.247;19.6;13.5;26.886
29.5;90;1;2443.1;78.8;31.77;18.8;15.5;26.886
29.5;90;1;2447;79.7;31.77;18.8;15.5;26.886
29.5;90;1;2432.6;77.8;31.77;18.8;15.5;26.886
29.5;89.8;1;2395.1;80.8;31.77;18.8;15.5;26.886
29.5;89;1;2182.1;83;31.77;18.8;15.5;26.886
29.5;89;1;1993.6;86.1;31.77;18.8;15.5;29.624
